Bigram,Count
딥시크를 능가.,1
능가. #grok3,1
#grok3 #llm,1
#llm #xai,1
#xai #wonwizard,1
#wonwizard https://t.co/dE8LedvfT0,1
“「AIの利用・開発に関する契約チェックリスト」を取りまとめました （METI/経済産業省）”,1
（METI/経済産業省）” https://t.co/PXlkLsSMXy,1
https://t.co/PXlkLsSMXy #ai,1
#ai #LLM,1
#LLM #契約,1
#契約 #d,1
Hack infiltration,1
infiltration and,1
and recovery,1
recovery services?,1
services? Inbox,1
Inbox me,1
me for,1
for help.,1
help. #llm,1
#llm #largelanguagemodels,1
#largelanguagemodels #ai,1
#ai #rag,1
#rag #finetuning,1
#finetuning #machinelearning,1
#machinelearning #แถลงข่าวงานบอล55ปีช่อง3,1
#แถลงข่าวงานบอล55ปีช่อง3 #ピッコマでポイ活,1
#ピッコマでポイ活 https://t.co/rImvTVwpUq,1
🚀 A,1
A Comprehensive,1
Comprehensive Overview,1
Overview of,1
of LLMs,2
LLMs in,1
in DETAIL!,1
DETAIL! Written,1
Written by,1
by top,1
top researchers,1
researchers &amp;,1
"&amp; students,",1
"students, this",1
this paper,1
paper covers,1
covers everything,1
everything about,1
about Large,1
Models in,1
in an,1
an easy-to-understand,1
easy-to-understand way.,1
way. 📖,1
📖 Read,1
Read here,1
here 👉,1
👉 https://t.co/GuqCas0uTA,1
https://t.co/GuqCas0uTA #AI,1
#AI #MachineLearning,4
#MachineLearning #LLM,2
#DeepLearning @Setters_Ai,1
【論文】自己適応型LLMの新時代『Self-adaptive LLMs』について簡単に纏めてみました,2
LLMs』について簡単に纏めてみました https://t.co/O9aOEytCjC,1
https://t.co/O9aOEytCjC #論文,1
#論文 #AI,2
Sometimes you,1
you have,1
have to,1
to be,1
be careful,1
careful what,1
what you,1
you ask,1
ask for,1
for -,1
- what,1
what are,1
are the,1
the consequences,1
consequences of,1
of using,1
using #GenerativeAI,1
#GenerativeAI ?,1
? As,1
As they,1
they say,1
say -,1
- moderation,1
moderation is,1
is key,1
key -,1
the same,1
same applies,1
applies to,1
to #GenAI,1
#GenAI usage,1
usage !,1
! https://t.co/0uCtxu53Ym,1
https://t.co/0uCtxu53Ym #innovation,1
#innovation #disruption,2
#disruption #ArtificialIntelligence,1
#ArtificialIntelligence #LLM,1
#AI #AIinnovation,1
GPT-4oより高性能うたう「Grok 3」マスク氏のxAIがリリース。ウェブ版とiOSアプリ版で提供,1
3」マスク氏のxAIがリリース。ウェブ版とiOSアプリ版で提供 |,1
| テクノエッジ,1
テクノエッジ TechnoEdge,1
TechnoEdge #LLM,1
#reasoning #AI,1
#AI https://t.co/pim2itNof6,1
マスク氏のｘＡＩ、対話型生成ＡＩ「グロック３」をリリース |,1
| ロイター,1
ロイター #chat,1
#chat #LLM,1
#LLM #NLP,1
#AI https://t.co/MwfAyxjJU6,1
How does,1
does AI,1
AI understand,1
understand you?,1
you? Tokenization!,1
Tokenization! Text,1
Text breaks,1
breaks into,1
"into ""tokens""",1
"""tokens"" (words/sub-words),",1
"(words/sub-words), each",1
each getting,1
getting a,1
a unique,1
unique ID,1
ID from,1
from a,1
a vocabulary.,1
vocabulary. Like,1
Like looking,1
looking up,1
"a word,",1
"word, this",1
this ID,1
ID is,1
is how,1
how LLMs,1
LLMs understand.,1
understand. Tokenization:,1
Tokenization: Text,1
Text -&gt;,1
-&gt; Tokens,1
Tokens -&gt;,1
-&gt; IDs,1
IDs (pre-defined,1
(pre-defined vocab).,1
vocab). Simple!,1
Simple! #LLM,1
#LLM #Tokenization,1
#Tokenization #NLP,1
LLMs boosting,1
boosting support?,1
support? 5,1
5 powerful,1
powerful use,1
use cases:,1
cases: 1️⃣,1
1️⃣ Chatbots:,1
Chatbots: Automated,1
Automated convos.,1
convos. 2️⃣,1
2️⃣ FAQs:,1
FAQs: Quick,1
Quick answers.,1
answers. 3️⃣,1
3️⃣ Sentiment:,1
Sentiment: Understand,1
Understand emotion.,1
emotion. 4️⃣,1
4️⃣ Personalize:,1
Personalize: Tailored,1
Tailored exp.,1
exp. 5️⃣,1
5️⃣ Auto,1
Auto Tickets:,1
Tickets: Streamline,1
Streamline workflow.,1
workflow. #LLM,1
#LLM #CustomerService,1
#CustomerService #AI,1
LLMs』について簡単に纏めてみました https://t.co/O9aOEyua9a,1
https://t.co/O9aOEyua9a #論文,1
"Agree, incredibly",1
incredibly useful,1
useful -,1
the right,2
right amount,1
amount of,1
of detail,1
detail across,1
across the,1
the entire,1
entire #LLM,1
#LLM pipeline.,1
pipeline. I,1
I can't,1
can't believe,1
believe this,1
this is,1
is offered,1
offered gratis,1
gratis from,1
from @karpathy,1
@karpathy .,1
. .,2
. hyper-targeted,1
hyper-targeted knowledge,1
"knowledge diffusion,",1
"diffusion, wow.",1
wow. https://t.co/SZ5hRYKw1S,1
ウェビナー開催決定！ 「生成AI,1
「生成AI x,1
x テキスト分析の進化,1
テキスト分析の進化 〜,1
〜 LLMによる最新のテキスト特徴量とビジネスでの活用法,1
LLMによる最新のテキスト特徴量とビジネスでの活用法 〜」,1
〜」 3月27日(木),1
3月27日(木) 12:00～13:00,1
12:00～13:00 視聴方法:Zoom,1
視聴方法:Zoom (参加無料),1
(参加無料) https://t.co/GCtgpdXy13,1
https://t.co/GCtgpdXy13 #dotdata,1
#dotdata #生成AI,1
#生成AI #データ活用,1
#データ活用 #データ分析,1
#データ分析 #テキスト分析,1
#テキスト分析 #DX推進,1
#DX推進 #LLM,1
#LLM #特徴量,1
#特徴量 #自然言語処理,1
#自然言語処理 #NLP,1
#NLP https://t.co/i8wjidcC66,1
Pipelines optimize,1
optimize LLMs,1
by handling,1
handling data,1
"data flow,",1
"flow, tokenization,",1
"tokenization, training,",1
"training, and",1
and inference,1
inference efficiently.,1
efficiently. They,1
They enhance,1
"enhance scalability,",1
"scalability, performance,",1
"performance, and",1
and adaptability,1
adaptability for,1
for AI,1
AI applications.,1
applications. #LLM,1
#MachineLearning https://t.co/8MUhXD1qdC,1
https://t.co/gOsgK4BPyv »Humane’s,1
»Humane’s AI,1
AI Pin,1
Pin is,1
is dead«,1
dead« https://t.co/lQK0UDOzUr,1
https://t.co/lQK0UDOzUr #AIagent,1
Wow -,1
- can,1
can #GenerativeAI,1
#GenerativeAI help,1
help us,1
us be,1
be happier,1
happier within,1
within ourselves,1
ourselves &amp;,1
&amp; satisfy,1
satisfy our,1
our human,1
human urges,1
urges ?,1
? These,1
These are,1
are strong,1
strong claims,1
claims -,1
- we're,1
we're never,1
never going,1
going to,1
to stop,1
stop using,1
using #GenAI,1
#GenAI -,1
- are,1
are we,1
we ?,1
? https://t.co/T3shkD4F16,1
https://t.co/T3shkD4F16 #innovation,1
#disruption #LLM,1
#LLM #SLM,1
#SLM #AgenticAI,1
#AgenticAI #AIinnovation,1
#AIinnovation #EthicalAI,1
#EthicalAI #TrustworthyAI,1
#TrustworthyAI l,1
REVISTA DIGITAL,1
DIGITAL DE,1
DE FEBRERO,1
FEBRERO 2025,1
"2025 Economía,",1
"Economía, Gerencia",1
Gerencia y,1
y Tecnología,1
Tecnología Sin,1
Sin ningún,1
ningún registro,1
registro ➡️Léala,1
➡️Léala ahora:,1
ahora: https://t.co/tJeOyLRi47,1
https://t.co/tJeOyLRi47 ✅,1
✅ #IA,1
#IA #ML,1
#ML #DL,1
#DL #Cloud,1
#Cloud #LLM,1
#LLM #BI,1
#BI #Technology,1
#Technology #DigitalTransformation,1
#DigitalTransformation #Management,1
#Management #Economy,1
#Economy #Profit,1
#Profit #Psychology,1
#Psychology #Robot,1
#Robot #Crypto,1
#Crypto #Fintech,1
#Fintech #Banking,1
#Banking #data,1
#data https://t.co/VrsIjXw6UR,1
I just,1
just published,1
published a,1
a tutorial,1
tutorial on,1
on how,1
how to,2
to use,2
use Temperature,1
Temperature and,1
and Top,1
Top P,1
P in,1
in Google,1
Google AI,1
AI Studio,1
Studio to,1
to control,1
control AI,1
AI creativity,1
creativity and,1
and vocabulary.,1
vocabulary. Hope,1
Hope you,1
you find,1
find it,1
it useful!,1
useful! #LLM,1
#AI https://t.co/OQSQR3g6mx,1
7/ The,1
The experiments,1
experiments were,1
were conducted,1
conducted on,1
on Llama-3.2-1B-Instruct.,1
Llama-3.2-1B-Instruct. More,1
More insights,1
insights to,1
to come,1
come as,1
as I,1
I refine,1
refine these,1
these techniques.,1
techniques. What,1
What are,1
are your,1
your thoughts,1
thoughts on,1
on manipulating,1
manipulating activation,1
activation directions,1
directions in,1
in LLMs?,1
LLMs? Let’s,1
Let’s discuss!,1
discuss! #AI,1
#LLM #MachineLearning,1
#MachineLearning #AISecurity,1
#AISecurity #MLunlearning,1
#MLunlearning #MachineUnlearning,1
4/n Example,1
Example of,1
of feature,1
feature ablation:,1
ablation: ❓,1
❓ Prompt:,1
Prompt: Where,1
Where is,1
is California?,1
California? ✅,1
✅ Baseline:,1
Baseline: California,1
California is,1
is a,2
a state,1
state in,1
in the,3
the western,1
western US.,1
US. ❌,1
❌ Ablated:,1
Ablated: California,1
California can,1
can refer,1
refer to,1
to different,1
different things,1
things depending,1
depending on,1
on context…,1
context… (but,1
(but never,1
never states,1
states where,1
where it,1
it is),1
is) #AI,1
#AI #NLP,1
I’ve been,1
been playing,1
playing around,1
around with,1
with LLM,1
LLM activations,1
activations and,1
and found,1
found some,1
some interesting,1
interesting insights.,1
insights. Here’s,1
Here’s what,1
what I,1
I found:🧵,1
found:🧵 1/n,1
1/n #AI,1
#LLM #Interpretability,1
#Interpretability #alignment,1
#alignment #opensource,1
#opensource #AGI,1
@pmarca @AravSrinivas,1
@AravSrinivas Hence,1
Hence it,1
it seems,1
seems safe,1
safe to,1
"to guess,",1
"guess, M.",1
"M. @AravSrinivas,",1
"@AravSrinivas, that",1
that you've,1
you've implemented,1
implemented a,1
a proprietary,1
proprietary ideological,1
